iter	Passed	Remaining
451	36057	43715
452	36111	43604
453	36167	43497
454	36226	43391
455	36281	43283
456	36338	43176
457	36405	43082
458	36464	42979
459	36525	42878
460	36585	42775
461	36644	42672
462	36703	42569
463	36759	42463
464	36832	42377
465	36904	42289
466	36978	42204
467	37050	42116
468	37109	42014
469	37162	41906
470	37220	41803
471	37276	41699
472	37334	41596
473	37388	41490
474	37448	41390
475	37501	41283
476	37558	41180
477	37613	41075
478	37666	40969
479	37720	40864
480	37776	40761
481	37832	40657
482	37888	40555
483	37945	40454
484	38002	40352
485	38057	40250
486	38112	40147
487	38166	40043
488	38225	39945
489	38281	39844
490	38338	39744
491	38395	39643
492	38452	39544
493	38508	39444
494	38560	39339
495	38622	39245
496	38675	39142
497	38732	39043
498	38790	38946
499	38846	38846
500	38903	38747
501	38959	38648
502	39017	38551
503	39081	38461
504	39145	38370
505	39209	38279
506	39275	38191
507	39332	38094
508	39397	38004
509	39514	37965
510	39568	37864
511	39623	37766
512	39680	37669
513	39736	37571
514	39797	37479
515	39853	37381
516	39909	37285
517	39962	37185
518	40020	37090
519	40075	36992
520	40132	36897
521	40187	36800
522	40267	36725
523	40345	36649
524	40403	36555
525	40458	36459
526	40521	36369
527	40574	36271
528	40631	36176
529	40689	36082
530	40749	35991
531	40811	35902
532	40870	35809
533	40932	35720
534	40990	35627
535	41052	35538
536	41111	35446
537	41167	35352
538	41227	35260
539	41283	35167
540	41339	35073
541	41393	34978
542	41447	34883
543	41504	34790
544	41559	34696
545	41613	34601
546	41670	34509
547	41726	34416
548	41782	34324
549	41847	34239
550	41908	34150
551	41960	34054
552	42017	33963
553	42069	33868
554	42125	33776
555	42178	33682
556	42238	33593
557	42297	33504
558	42353	33413
559	42409	33321
560	42467	33231
561	42521	33139
562	42577	33048
563	42638	32961
564	42693	32870
565	42749	32779
566	42806	32689
567	42865	32602
568	42924	32513
569	42981	32424
570	43039	32336
571	43100	32249
572	43155	32159
573	43213	32071
574	43268	31980
575	43326	31893
576	43379	31801
577	43438	31714
578	43494	31625
579	43550	31536
580	43609	31449
581	43662	31358
582	43720	31271
583	43773	31181
584	43831	31094
585	43887	31006
586	43946	30919
587	44004	30833
588	44061	30746
589	44120	30659
590	44177	30572
591	44233	30485
592	44294	30400
593	44350	30313
594	44408	30227
595	44471	30145
596	44541	30067
597	44596	29979
598	44652	29892
599	44711	29807
600	44763	29718
601	44822	29633
602	44877	29546
603	44940	29464
604	44999	29379
605	45053	29292
606	45109	29206
607	45167	29121
608	45222	29034
609	45277	28947
610	45333	28862
611	45388	28775
612	45447	28692
613	45510	28611
614	45568	28526
615	45636	28448
616	45709	28373
617	45777	28296
618	45836	28212
619	45893	28128
620	45948	28042
621	46007	27959
622	46060	27872
623	46117	27788
624	46171	27702
625	46226	27617
626	46279	27531
627	46337	27448
628	46394	27364
629	46476	27295
630	46583	27241
631	46640	27157
632	46694	27072
633	46751	26988
634	46807	26904
635	46874	26827
636	46934	26746
637	46989	26661
638	47048	26579
639	47101	26494
640	47159	26412
641	47218	26330
642	47280	26250
643	47339	26169
644	47401	26089
645	47458	26006
646	47518	25925
647	47574	25843
648	47627	25758
649	47684	25676
650	47740	25593
651	47799	25512
652	47854	25429
653	47916	25350
654	47970	25266
655	48033	25188
656	48088	25105
657	48149	25026
658	48208	24945
659	48269	24865
660	48325	24784
661	48385	24704
662	48448	24626
663	48515	24549
664	48576	24470
665	48635	24390
666	48697	24312
667	48750	24229
668	48808	24148
669	48869	24070
670	48928	23990
671	48985	23909
672	49040	23828
673	49099	23748
674	49155	23667
675	49219	23590
676	49277	23510
677	49337	23431
678	49395	23351
679	49457	23274
680	49513	23193
681	49573	23115
682	49630	23034
683	49687	22955
684	49744	22875
685	49796	22793
686	49853	22713
687	49912	22634
688	49967	22554
689	50021	22473
690	50080	22395
691	50138	22316
692	50196	22237
693	50277	22168
694	50337	22090
695	50423	22023
696	50502	21954
697	50566	21878
698	50632	21803
699	50688	21723
700	50740	21642
701	50798	21564
702	50853	21484
703	50913	21406
704	50966	21326
705	51023	21247
706	51079	21168
707	51136	21090
708	51193	21011
709	51250	20933
710	51305	20854
711	51366	20777
712	51422	20698
713	51479	20620
714	51535	20541
715	51592	20464
716	51651	20386
717	51706	20308
718	51765	20231
719	51832	20157
720	51896	20081
721	51954	20004
722	52013	19927
723	52085	19855
724	52152	19781
725	52212	19705
726	52269	19627
727	52328	19551
728	52386	19474
729	52443	19396
730	52501	19320
731	52559	19243
732	52619	19166
733	52676	19089
734	52733	19012
735	52792	18936
736	52845	18858
737	52908	18783
738	52963	18705
739	53025	18630
740	53081	18553
741	53146	18479
742	53203	18402
743	53264	18327
744	53324	18251
745	53382	18175
746	53441	18099
747	53497	18023
748	53559	17948
749	53615	17871
750	53672	17795
751	53732	17720
752	53792	17645
753	53848	17568
754	53906	17492
755	53962	17416
756	54047	17349
757	54107	17274
758	54168	17199
759	54278	17140
760	54367	17074
761	54433	17001
762	54495	16927
763	54556	16852
764	54619	16778
765	54682	16704
766	54744	16630
767	54808	16556
768	54864	16480
769	54927	16406
770	54984	16331
771	55044	16256
772	55106	16182
773	55165	16107
774	55224	16032
775	55282	15957
776	55338	15882
777	55396	15807
778	55457	15733
779	55515	15658
780	55574	15583
781	55631	15508
782	55688	15433
783	55744	15358
784	55799	15282
785	55857	15207
786	55916	15133
787	55972	15058
788	56031	14984
789	56085	14908
790	56145	14835
791	56201	14759
792	56257	14685
793	56314	14610
794	56376	14537
795	56438	14464
796	56493	14389
797	56551	14315
798	56609	14240
799	56666	14166
800	56725	14092
801	56786	14019
802	56852	13947
803	56916	13875
804	56976	13801
805	57031	13727
806	57090	13653
807	57146	13579
808	57207	13506
809	57262	13431
810	57321	13358
811	57379	13284
812	57437	13211
813	57494	13137
814	57553	13064
815	57614	12991
816	57671	12917
817	57731	12844
818	57789	12771
819	57847	12698
820	57905	12624
821	57963	12551
822	58021	12478
823	58080	12405
824	58136	12332
825	58193	12258
826	58252	12185
827	58306	12112
828	58369	12040
829	58429	11967
830	58497	11896
831	58559	11824
832	58614	11751
833	58673	11678
834	58727	11604
835	58786	11532
836	58844	11459
837	58898	11386
838	58955	11313
839	59012	11240
840	59069	11167
841	59125	11094
842	59179	11021
843	59239	10949
844	59300	10877
845	59358	10805
846	59414	10732
847	59472	10660
848	59528	10587
849	59587	10515
850	59644	10443
851	59701	10370
852	59760	10298
853	59818	10226
854	59876	10154
855	59930	10081
856	59989	10009
857	60045	9937
858	60104	9865
859	60159	9793
860	60224	9722
861	60279	9650
862	60333	9577
863	60388	9505
864	60446	9433
865	60507	9362
866	60564	9290
867	60624	9219
868	60675	9146
869	60737	9075
870	60796	9004
871	60855	8932
872	60915	8861
873	60973	8790
874	61031	8718
875	61091	8647
876	61150	8576
877	61206	8504
878	61263	8433
879	61318	8361
880	61376	8290
881	61433	8218
882	61488	8147
883	61541	8075
884	61595	8003
885	61653	7932
886	61754	7867
887	61841	7799
888	61900	7728
889	61957	7657
890	62016	7586
891	62071	7515
892	62133	7444
893	62187	7373
894	62243	7302
895	62304	7231
896	62359	7160
897	62418	7089
898	62475	7018
899	62535	6948
900	62593	6877
901	62651	6806
902	62708	6736
903	62768	6665
904	62826	6595
905	62884	6524
906	62940	6453
907	63000	6383
908	63060	6312
909	63143	6245
910	63205	6174
911	63264	6104
912	63324	6034
913	63385	5964
914	63443	5893
915	63508	5823
916	63569	5753
917	63643	5684
918	63709	5615
919	63772	5545
920	63836	5475
921	63899	5405
922	63962	5335
923	64027	5266
924	64087	5196
925	64152	5126
926	64209	5056
927	64268	4986
928	64329	4916
929	64382	4846
930	64438	4775
931	64499	4705
932	64558	4636
933	64618	4566
934	64684	4496
935	64739	4426
936	64798	4356
937	64850	4286
938	64911	4216
939	64970	4147
940	65030	4077
941	65087	4007
942	65145	3937
943	65206	3868
944	65264	3798
945	65323	3728
946	65382	3659
947	65446	3589
948	65504	3520
949	65563	3450
950	65621	3381
951	65682	3311
952	65744	3242
953	65801	3172
954	65857	3103
955	65921	3034
956	65981	2964
957	66044	2895
958	66113	2826
959	66183	2757
960	66254	2688
961	66313	2619
962	66373	2550
963	66435	2480
964	66497	2411
965	66554	2342
966	66617	2273
967	66676	2204
968	66733	2134
969	66793	2065
970	66860	1996
971	66920	1927
972	66977	1858
973	67042	1789
974	67100	1720
975	67157	1651
976	67215	1582
977	67272	1513
978	67332	1444
979	67391	1375
980	67450	1306
981	67509	1237
982	67568	1168
983	67625	1099
984	67684	1030
985	67739	961
986	67800	893
987	67864	824
988	67925	755
989	67983	686
990	68039	617
991	68097	549
992	68152	480
993	68211	411
994	68265	343
995	68327	274
996	68387	205
997	68446	137
998	68505	68
999	68562	0
