iter	Logloss
0	0.6804522556
1	0.6689468097
2	0.6581302036
3	0.6480611858
4	0.6384342967
5	0.6288139964
6	0.6191672885
7	0.6116677164
8	0.6043760536
9	0.5967316019
10	0.5900529892
11	0.5834677539
12	0.5773743934
13	0.5713587321
14	0.566045613
15	0.5608644434
16	0.5557731935
17	0.5511939411
18	0.5460725414
19	0.5415805911
20	0.5375214853
21	0.5338291342
22	0.5297671027
23	0.526278585
24	0.5226591076
25	0.5195427157
26	0.5163685984
27	0.513196121
28	0.5100312327
29	0.5072207378
30	0.5049531308
31	0.5027140439
32	0.5001327023
33	0.4976552577
34	0.4955113228
35	0.4932698084
36	0.4913989022
37	0.4894833157
38	0.487345985
39	0.4853099741
40	0.4834263414
41	0.481439359
42	0.4797248226
43	0.4781133
44	0.4767217779
45	0.4750815651
46	0.4732506614
47	0.4718342535
48	0.4703146813
49	0.4690154497
50	0.4677913223
51	0.4662260444
52	0.4649167107
53	0.4636708023
54	0.4624822625
55	0.4613390897
56	0.4602553829
57	0.4590691418
58	0.4580504089
59	0.4567978688
60	0.455628285
61	0.4546588026
62	0.4536757283
63	0.4524306077
64	0.4513617766
65	0.4502165887
66	0.4493523169
67	0.4485096585
68	0.447662727
69	0.4467375497
70	0.4459882798
71	0.4453093021
72	0.4443730064
73	0.4436282887
74	0.4427160612
75	0.4419340991
76	0.4410453068
77	0.4403915022
78	0.4396056113
79	0.4388365109
80	0.43810388
81	0.4375720351
82	0.4369106251
83	0.4362291521
84	0.4354550306
85	0.4348507878
86	0.4342679579
87	0.4334927984
88	0.4325953751
89	0.4319858987
90	0.4314105914
91	0.4307079534
92	0.4300841227
93	0.4293498416
94	0.4287637335
95	0.4282390804
96	0.4275964008
97	0.4270670701
98	0.4265949567
99	0.4259170552
100	0.4254459422
101	0.4249470319
102	0.4243988694
103	0.4239885552
104	0.4233319172
105	0.4228393545
106	0.4223478912
107	0.4219241978
108	0.4214061447
109	0.4207548355
110	0.4204266214
111	0.41980814
112	0.4192590006
113	0.4188738247
114	0.4182234391
115	0.41788439
116	0.4174458429
117	0.4169608652
118	0.4164989833
119	0.4160687563
120	0.4156286523
121	0.4152200089
122	0.4148051585
123	0.4143004178
124	0.413978231
125	0.4135571696
126	0.4131229274
127	0.4127560393
128	0.4124651427
129	0.4120055114
130	0.4116219103
131	0.4111306559
132	0.4108216981
133	0.410454039
134	0.4101067098
135	0.4096867505
136	0.4092879757
137	0.408859165
138	0.4084258868
139	0.4080098826
140	0.4076393666
141	0.4072319473
142	0.4067856213
143	0.4064379503
144	0.4060601865
145	0.4056570365
146	0.4052157732
147	0.404840283
148	0.4043723198
149	0.4040364399
150	0.4036772455
151	0.4033638196
152	0.4029669566
153	0.4025439784
154	0.4021977298
155	0.401809132
156	0.4014573798
157	0.401144007
158	0.4007098544
159	0.4003345097
160	0.3999978067
161	0.3996459388
162	0.3993745069
163	0.3990023376
164	0.3986012691
165	0.3982809068
166	0.39789188
167	0.3974207957
168	0.397086579
169	0.3967308148
170	0.3963219549
171	0.3959899225
172	0.3956729181
173	0.3953160582
174	0.3949740622
175	0.3946202067
176	0.3942687423
177	0.3938762472
178	0.3936406873
179	0.3934009973
180	0.393109543
181	0.3927521374
182	0.3924478002
183	0.3922024754
184	0.3919058308
185	0.3916178827
186	0.3912857972
187	0.3909297382
188	0.3907007574
189	0.3904231728
190	0.3901618178
191	0.3898871352
192	0.3896239117
193	0.3892369913
194	0.3889969089
195	0.3886608767
196	0.3883112034
197	0.3879977485
198	0.3876963907
199	0.3873834899
200	0.3870987989
201	0.3867785184
202	0.3865402929
203	0.3861894696
204	0.3858255765
205	0.3855690632
206	0.3853298117
207	0.385023197
208	0.3846718963
209	0.3843946036
210	0.3841559584
211	0.3839066869
212	0.3835229458
213	0.3833178821
214	0.3830246958
215	0.3826776978
216	0.3823220806
217	0.3820362949
218	0.3818170098
219	0.3815012518
220	0.3812223051
221	0.3809278706
222	0.3807078868
223	0.3804206026
224	0.3801668709
225	0.3799830035
226	0.379688492
227	0.3794628347
228	0.3791535523
229	0.3789100242
230	0.3786745164
231	0.3784550568
232	0.3782047771
233	0.3778529782
234	0.3775995681
235	0.3773510631
236	0.3770922733
237	0.3768078539
238	0.376505381
239	0.3762520283
240	0.3759747791
241	0.3757045426
242	0.3755066115
243	0.3751680692
244	0.3749515535
245	0.3747790923
246	0.3745030994
247	0.3742239881
248	0.3738957945
249	0.3736198744
250	0.3734016883
251	0.3731223311
252	0.3728492097
253	0.3725271632
254	0.3723224703
255	0.3720949728
256	0.3718487395
257	0.3715408716
258	0.3712947068
259	0.3710526124
260	0.3707705109
261	0.3705296589
262	0.3702666719
263	0.370033725
264	0.3697693727
265	0.3694905092
266	0.3692932844
267	0.3690301741
268	0.368768598
269	0.3684760726
270	0.3682342457
271	0.3679854783
272	0.3676841951
273	0.3674071329
274	0.367098032
275	0.3668740568
276	0.3665908812
277	0.3662683696
278	0.3660558646
279	0.3658225066
280	0.3655995806
281	0.365411396
282	0.3651312826
283	0.3649337069
284	0.3646790653
285	0.3643519375
286	0.3641517822
287	0.3639135316
288	0.363648731
289	0.3634238722
290	0.3631298401
291	0.3629175056
292	0.3627013464
293	0.3624024051
294	0.3621460883
295	0.3618748061
296	0.3616455773
297	0.361418536
298	0.3611869685
299	0.3608902255
300	0.3606477923
301	0.3603913079
302	0.3602556081
303	0.3600529424
304	0.3598175945
305	0.3595206518
306	0.3592641559
307	0.3590160873
308	0.3587967439
309	0.3585611896
310	0.3582958618
311	0.3580167484
312	0.3577716642
313	0.3575045537
314	0.357279001
315	0.3569902493
316	0.3566937014
317	0.3563735081
318	0.3561184189
319	0.3557955098
320	0.3555279515
321	0.3552232863
322	0.3549320503
323	0.3546931836
324	0.3544004676
325	0.3540362987
326	0.3538094293
327	0.3536237355
328	0.3533692061
329	0.3531774814
330	0.3528654568
331	0.3525825622
332	0.3523537539
333	0.3520829594
334	0.3517554622
335	0.3515456636
336	0.3512397846
337	0.3509732597
338	0.3506885013
339	0.3503330459
340	0.3500221441
341	0.3497958197
342	0.3494993442
343	0.3492001084
344	0.3489390886
345	0.348605749
346	0.3482871696
347	0.348033368
348	0.3477587171
349	0.3474627414
350	0.347219061
351	0.3469796236
352	0.3467088005
353	0.3464584702
354	0.3462259366
355	0.3458651265
356	0.3456331275
357	0.3453424112
358	0.3450649517
359	0.3447096356
360	0.3444279681
361	0.3441041749
362	0.3438431169
363	0.3435951508
364	0.3432822384
365	0.342958123
366	0.342744763
367	0.3424797624
368	0.3421955465
369	0.3419287194
370	0.3416219071
371	0.3413398739
372	0.341081565
373	0.3408886771
374	0.3405994514
375	0.3403549977
376	0.3400456084
377	0.3398248162
378	0.3395453798
379	0.3391992317
380	0.3388022154
381	0.3384800435
382	0.33813814
383	0.3379042974
384	0.3375883792
385	0.3373122886
386	0.3370331115
387	0.3367290602
388	0.3364269818
389	0.3361209548
390	0.3358373405
391	0.3356139432
392	0.3353893306
393	0.3351535805
394	0.3347910754
395	0.3344863866
396	0.3341964666
397	0.3340107693
398	0.3337050461
399	0.3333715641
400	0.3330835403
401	0.3328263049
402	0.3324760655
403	0.3321192443
404	0.3318152702
405	0.3315145978
406	0.3312552228
407	0.3309410739
408	0.3306220079
409	0.3303959243
410	0.3300592091
411	0.329779903
412	0.3295319316
413	0.3293046363
414	0.3290428183
415	0.3288004667
416	0.3285810399
417	0.3283185079
418	0.3279904533
419	0.3277297363
420	0.3274632371
421	0.3272234921
422	0.3269166662
423	0.3266045587
424	0.3263317101
425	0.3260659183
426	0.3258234313
427	0.3255318059
428	0.3253142597
429	0.3250628977
430	0.3247492788
431	0.3244594076
432	0.3242498747
433	0.3239258889
434	0.3236570352
435	0.3233664692
436	0.3230393184
437	0.3227716496
438	0.3225752192
439	0.322279251
440	0.3220193348
441	0.3217417117
442	0.3214675682
443	0.3211734507
444	0.3208512636
445	0.3206079507
446	0.3202833401
447	0.3200806751
448	0.3198579125
449	0.319640966
450	0.3193744581
451	0.3191098584
452	0.3189080108
453	0.3186759701
454	0.3183241279
455	0.318091166
456	0.3178621447
457	0.3175967732
458	0.3173404826
459	0.3170626719
460	0.3168403376
461	0.3165305421
462	0.316296856
463	0.3161727837
464	0.3159417589
465	0.3157142708
466	0.3155454407
467	0.315254474
468	0.3149686879
469	0.3147461478
470	0.3145449296
471	0.3142547488
472	0.3140710626
473	0.3137585263
474	0.3134563636
475	0.313263044
476	0.312999226
477	0.312773054
478	0.3125892279
479	0.3123728922
480	0.3121764296
481	0.3119053395
482	0.3116850229
483	0.3115105316
484	0.3112347559
485	0.3109742714
486	0.310740276
487	0.3105095058
488	0.3102133182
489	0.309928377
490	0.3096549998
491	0.3094466208
492	0.3092354605
493	0.3090074496
494	0.3086939761
495	0.3084481599
496	0.3081997358
497	0.30792317
498	0.3075878285
499	0.3072785289
500	0.3070574409
501	0.3068441109
502	0.3065194774
503	0.3062572552
504	0.3060984101
505	0.305824639
506	0.305607464
507	0.3054069694
508	0.3051404907
509	0.3049554236
510	0.3047157554
511	0.3045263068
512	0.3043331031
513	0.3041160573
514	0.3038873639
515	0.303619494
516	0.3034889049
517	0.3033326456
518	0.3031084226
519	0.3028680183
520	0.3026465556
521	0.3024132824
522	0.3021184741
523	0.3018629576
524	0.3016251574
525	0.3014076988
526	0.3012072228
527	0.3009730945
528	0.3006971823
529	0.3004421907
530	0.3001730733
531	0.2999861113
532	0.2997803932
533	0.2995913725
534	0.2994026397
535	0.2991632543
536	0.2989533481
537	0.2986511211
538	0.2983920486
539	0.2981383013
540	0.2979196106
541	0.2976793541
542	0.2974280979
543	0.2971883232
544	0.2970094873
545	0.2967744407
546	0.296543312
547	0.2963482349
548	0.2960958311
549	0.2959168139
550	0.2956778666
551	0.2954937321
552	0.2952901124
553	0.2951253351
554	0.294864186
555	0.2946709401
556	0.2945003372
557	0.2942321063
558	0.2940498746
559	0.2938395992
560	0.2935254549
561	0.2933465563
562	0.293113597
563	0.2928445711
564	0.2926017124
565	0.2923825748
566	0.2921438676
567	0.2919348007
568	0.2916742998
569	0.2915210141
570	0.2913213878
571	0.2910394518
572	0.2908204596
573	0.2906417613
574	0.2904193756
575	0.2901894266
576	0.2900137073
577	0.2897572256
578	0.2895241103
579	0.289374992
580	0.2891928124
581	0.2889961262
582	0.2887796178
583	0.2885851803
584	0.2883848563
585	0.2881583777
586	0.2878750645
587	0.2876033841
588	0.2873827924
589	0.2871121026
590	0.2868777447
591	0.2866850962
592	0.2864616301
593	0.2862482113
594	0.285966745
595	0.2857800888
596	0.2855619363
597	0.2853944569
598	0.2851251702
599	0.2849553187
600	0.284805229
601	0.2845825643
602	0.2843578389
603	0.2841761569
604	0.2839766755
605	0.2837546363
606	0.2835640615
607	0.2833512013
608	0.2831468654
609	0.2829188984
610	0.2826933351
611	0.2825120988
612	0.2822481206
613	0.2820632174
614	0.2818740075
615	0.2817185647
616	0.2814841075
617	0.2813311763
618	0.2811507074
619	0.2809718403
